seq_id,frame_idx,track_id,cx,cy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,conf,is_interpolated,velocity_norm,vel_px_sec,vel_px_sec_smooth,vehicle_count,roi_occupancy,track_length_real,split,tracker
MVI_20062,11,1,526.9801546374885,119.17448713986346,510.95295510368186,92.90017718932928,543.007354171295,145.44879709039765,0.9027,False,0.027463341938083287,0.6865835484520821,0.6865835484520821,9,0.9,155,test,sort
MVI_20062,12,1,526.1431272752421,118.25348071152484,510.4767026551668,92.07192376471538,541.8095518953174,144.4350376583343,0.896,False,0.02824756143562974,0.7061890358907436,0.6963862921714128,9,0.9,155,test,sort
MVI_20062,13,1,524.917135259162,116.52835606469611,509.416724587906,90.25388447810248,540.4175459304181,142.80282765128976,0.8667,False,0.048036321544588555,1.200908038614714,0.8645602076525133,9,0.9,155,test,sort
MVI_20062,14,1,523.4952477273823,115.47044240637075,508.11705937279015,89.42641137835203,538.8734360819744,141.5144734343895,0.8617,False,0.040225736609645554,1.0056434152411389,0.8998310095496697,9,0.9,155,test,sort
MVI_20062,15,1,522.4283177430625,114.97072909927502,507.2357404105227,89.32681508217478,537.6208950756024,140.61464311637528,0.8675,False,0.026740949841281274,0.6685237460320318,0.8535695568461421,9,0.9,155,test,sort
MVI_20062,16,1,521.2481149091136,114.34028693992256,506.29501762261674,89.02370214451659,536.2012121956105,139.65687173532854,0.8551,False,0.030369740823003435,0.7592435205750859,0.8681015512707428,9,0.9,155,test,sort
MVI_20062,17,1,520.271737109752,114.09359183218135,505.4233600253412,89.1455165580388,535.1201141941629,139.0416671063239,0.8593,False,0.022857547645685396,0.5714386911421349,0.8411514823210211,9,0.9,155,test,sort
MVI_20062,18,1,519.6255381173161,112.93431485563342,505.0957444983314,88.01289269267139,534.1553317363007,137.85573701859545,0.8577,False,0.030124140802712477,0.7531035200678119,0.7515905786116407,9,0.9,155,test,sort
MVI_20062,19,1,518.033323338109,111.61313034115905,503.2021093091582,86.6139413091114,532.8645373670598,136.6123193732067,0.8626,False,0.046960207611972477,1.1740051902993118,0.7852629336232753,9,0.9,155,test,sort
MVI_20062,20,1,516.7739636423532,110.76303521614611,501.7842656612353,86.0128111208019,531.7636616234712,135.51325931149032,0.8804,False,0.03448678594879297,0.8621696487198242,0.8239921141608338,9,0.9,155,test,sort
MVI_20062,21,1,515.8916699196039,109.74032422467735,501.1381599109675,85.20966986952772,530.6451799282404,134.270978579827,0.8663,False,0.03065712731147309,0.7664281827868272,0.8254290466031821,9,0.9,155,test,sort
